,A191RL1Q225SBEA
1959-01-31,0.5687203791469194
1959-02-28,0.5760926803580833
1959-03-31,0.583464981569247
1959-04-30,0.5908372827804107
1959-05-31,0.5434439178515008
1959-06-30,0.4960505529225908
1959-07-31,0.4486571879936809
1959-08-31,0.4528699315429173
1959-09-30,0.4570826750921538
1959-10-31,0.4612954186413902
1959-11-30,0.5044760400210637
1959-12-31,0.5476566614007372
1960-01-31,0.5908372827804107
1960-02-29,0.5308056872037914
1960-03-31,0.4707740916271722
1960-04-30,0.4107424960505529
1960-05-31,0.43233280674038965
1960-06-30,0.4539231174302264
1960-07-31,0.4755134281200632
1960-08-31,0.4386519220642443
1960-09-30,0.40179041600842547
1960-10-31,0.36492890995260663
1960-11-30,0.4054765666140074
1960-12-31,0.44602422327540814
1961-01-31,0.48657187993680884
1961-02-28,0.5092153765139547
1961-03-31,0.5318588730911006
1961-04-30,0.5545023696682464
1961-05-31,0.5592417061611374
1961-06-30,0.5639810426540284
1961-07-31,0.5687203791469194
1961-08-31,0.5697735650342285
1961-09-30,0.5708267509215377
1961-10-31,0.5718799368088467
1961-11-30,0.5676671932596103
1961-12-31,0.5634544497103738
1962-01-31,0.5592417061611374
1962-02-28,0.5402843601895735
1962-03-31,0.5213270142180095
1962-04-30,0.5023696682464455
1962-05-31,0.5092153765139547
1962-06-30,0.516061084781464
1962-07-31,0.5229067930489731
1962-08-31,0.5034228541337546
1962-09-30,0.48393891521853605
1962-10-31,0.46445497630331756
1962-11-30,0.4807793575566087
1962-12-31,0.49710373880989994
1963-01-31,0.5134281200631912
1963-02-28,0.5144813059505002
1963-03-31,0.5155344918378093
1963-04-30,0.5165876777251185
1963-05-31,0.5402843601895735
1963-06-30,0.5639810426540284
1963-07-31,0.5876777251184834
1963-08-31,0.5534491837809373
1963-09-30,0.5192206424433913
1963-10-31,0.4849921011058452
1963-11-30,0.517114270668773
1963-12-31,0.5492364402317009
1964-01-31,0.5813586097946287
1964-02-29,0.5587151132174829
1964-03-31,0.536071616640337
1964-04-30,0.5134281200631912
1964-05-31,0.5239599789362822
1964-06-30,0.5344918378093734
1964-07-31,0.5450236966824644
1964-08-31,0.5176408636124276
1964-09-30,0.4902580305423907
1964-10-31,0.46287519747235384
1964-11-30,0.5092153765139547
1964-12-31,0.5555555555555556
1965-01-31,0.6018957345971564
1965-02-28,0.5766192733017378
1965-03-31,0.5513428120063191
1965-04-30,0.5260663507109005
1965-05-31,0.5471300684570827
1965-06-30,0.5681937862032649
1965-07-31,0.589257503949447
1965-08-31,0.5908372827804107
1965-09-30,0.5924170616113744
1965-10-31,0.593996840442338
1965-11-30,0.5971563981042654
1965-12-31,0.6003159557661928
1966-01-31,0.60347551342812
1966-02-28,0.5576619273301737
1966-03-31,0.5118483412322274
1966-04-30,0.46603475513428116
1966-05-31,0.47656661400737227
1966-06-30,0.4870984728804634
1966-07-31,0.4976303317535545
1966-08-31,0.49710373880989994
1966-09-30,0.49657714586624535
1966-10-31,0.4960505529225908
1966-11-30,0.4976303317535545
1966-12-31,0.49921011058451814
1967-01-31,0.5007898894154819
1967-02-28,0.482885729331227
1967-03-31,0.4649815692469721
1967-04-30,0.4470774091627172
1967-05-31,0.46603475513428116
1967-06-30,0.4849921011058452
1967-07-31,0.5039494470774092
1967-08-31,0.5002632964718272
1967-09-30,0.4965771458662454
1967-10-31,0.4928909952606635
1967-11-30,0.5208004212743549
1967-12-31,0.5487098472880463
1968-01-31,0.5766192733017378
1968-02-29,0.5687203791469194
1968-03-31,0.5608214849921012
1968-04-30,0.5529225908372828
1968-05-31,0.5329120589784097
1968-06-30,0.5129015271195366
1968-07-31,0.4928909952606635
