,A191RL1Q225SBEA
1959-07-31,0.3
1959-08-31,0.5666666666666667
1959-09-30,0.8333333333333333
1959-10-31,1.1
1959-11-30,3.833333333333334
1959-12-31,6.566666666666668
1960-01-31,9.3
1960-02-29,5.5
1960-03-31,1.7000000000000002
1960-04-30,-2.1
1960-05-31,-0.7333333333333336
1960-06-30,0.6333333333333329
1960-07-31,2.0
1960-08-31,-0.3333333333333335
1960-09-30,-2.666666666666667
1960-10-31,-5.0
1960-11-30,-2.433333333333333
1960-12-31,0.13333333333333375
1961-01-31,2.7
1961-02-28,4.133333333333334
1961-03-31,5.566666666666666
1961-04-30,7.0
1961-05-31,7.3
1961-06-30,7.6000000000000005
1961-07-31,7.9
1961-08-31,7.966666666666667
1961-09-30,8.033333333333333
1961-10-31,8.1
1961-11-30,7.833333333333333
1961-12-31,7.566666666666666
1962-01-31,7.3
1962-02-28,6.1
1962-03-31,4.9
1962-04-30,3.7
1962-05-31,4.133333333333334
1962-06-30,4.566666666666666
1962-07-31,5.0
1962-08-31,3.7666666666666666
1962-09-30,2.533333333333333
1962-10-31,1.3
1962-11-30,2.3333333333333335
1962-12-31,3.366666666666667
1963-01-31,4.4
1963-02-28,4.466666666666667
1963-03-31,4.533333333333333
1963-04-30,4.6
1963-05-31,6.1
1963-06-30,7.6
1963-07-31,9.1
1963-08-31,6.933333333333334
1963-09-30,4.766666666666667
1963-10-31,2.6
1963-11-30,4.633333333333333
1963-12-31,6.666666666666666
1964-01-31,8.7
1964-02-29,7.266666666666667
1964-03-31,5.833333333333334
1964-04-30,4.4
1964-05-31,5.066666666666667
1964-06-30,5.733333333333333
1964-07-31,6.4
1964-08-31,4.666666666666667
1964-09-30,2.9333333333333336
1964-10-31,1.2
1964-11-30,4.133333333333334
1964-12-31,7.066666666666667
1965-01-31,10.0
1965-02-28,8.4
1965-03-31,6.800000000000001
1965-04-30,5.2
1965-05-31,6.533333333333333
1965-06-30,7.866666666666666
1965-07-31,9.2
1965-08-31,9.299999999999999
1965-09-30,9.4
1965-10-31,9.5
1965-11-30,9.7
1965-12-31,9.9
1966-01-31,10.1
1966-02-28,7.199999999999999
1966-03-31,4.3
1966-04-30,1.4
1966-05-31,2.0666666666666664
1966-06-30,2.7333333333333334
1966-07-31,3.4
1966-08-31,3.3666666666666667
1966-09-30,3.333333333333333
1966-10-31,3.3
1966-11-30,3.4
1966-12-31,3.5
1967-01-31,3.6
1967-02-28,2.466666666666667
1967-03-31,1.3333333333333335
1967-04-30,0.2
1967-05-31,1.4
1967-06-30,2.6
1967-07-31,3.8
1967-08-31,3.5666666666666664
1967-09-30,3.3333333333333335
1967-10-31,3.1
1967-11-30,4.866666666666667
1967-12-31,6.633333333333334
1968-01-31,8.4
1968-02-29,7.9
1968-03-31,7.4
1968-04-30,6.9
1968-05-31,5.633333333333334
1968-06-30,4.366666666666667
1968-07-31,3.1
1968-08-31,2.6
1968-09-30,2.1
1968-10-31,1.6
1968-11-30,3.2
1968-12-31,4.800000000000001
1969-01-31,6.4
1969-02-28,4.666666666666667
1969-03-31,2.9333333333333336
1969-04-30,1.2
1969-05-31,1.7000000000000002
1969-06-30,2.2
1969-07-31,2.7
1969-08-31,1.166666666666667
1969-09-30,-0.36666666666666625
1969-10-31,-1.9
1969-11-30,-1.4666666666666666
1969-12-31,-1.0333333333333332
1970-01-31,-0.6
1970-02-28,-0.2
1970-03-31,0.19999999999999996
1970-04-30,0.6
1970-05-31,1.6333333333333333
1970-06-30,2.666666666666667
1970-07-31,3.7
1970-08-31,1.0666666666666669
1970-09-30,-1.5666666666666664
1970-10-31,-4.2
1970-11-30,0.9666666666666668
1970-12-31,6.133333333333334
1971-01-31,11.3
1971-02-28,8.266666666666667
1971-03-31,5.233333333333333
1971-04-30,2.2
1971-05-31,2.566666666666667
1971-06-30,2.933333333333333
1971-07-31,3.3
1971-08-31,2.5
1971-09-30,1.7
1971-10-31,0.9
1971-11-30,3.133333333333333
1971-12-31,5.366666666666666
1972-01-31,7.6
1972-02-29,8.2
1972-03-31,8.8
1972-04-30,9.4
1972-05-31,7.533333333333333
1972-06-30,5.666666666666666
1972-07-31,3.8
1972-08-31,4.833333333333333
1972-09-30,5.866666666666667
1972-10-31,6.9
1972-11-30,8.033333333333333
1972-12-31,9.166666666666668
1973-01-31,10.3
1973-02-28,8.333333333333334
1973-03-31,6.366666666666667
1973-04-30,4.4
1973-05-31,2.233333333333334
1973-06-30,0.06666666666666732
1973-07-31,-2.1
1973-08-31,-0.10000000000000009
1973-09-30,1.9
1973-10-31,3.9
1973-11-30,1.4666666666666668
1973-12-31,-0.9666666666666663
1974-01-31,-3.4
1974-02-28,-1.9333333333333331
1974-03-31,-0.46666666666666634
1974-04-30,1.0
1974-05-31,-0.5666666666666667
1974-06-30,-2.1333333333333333
1974-07-31,-3.7
1974-08-31,-2.966666666666667
1974-09-30,-2.2333333333333334
1974-10-31,-1.5
1974-11-30,-2.5999999999999996
1974-12-31,-3.6999999999999997
1975-01-31,-4.8
1975-02-28,-2.2333333333333334
1975-03-31,0.33333333333333304
1975-04-30,2.9
1975-05-31,4.266666666666667
1975-06-30,5.633333333333333
1975-07-31,7.0
1975-08-31,6.5
1975-09-30,6.0
1975-10-31,5.5
1975-11-30,6.766666666666667
1975-12-31,8.033333333333333
1976-01-31,9.3
1976-02-29,7.200000000000001
1976-03-31,5.1000000000000005
1976-04-30,3.0
1976-05-31,2.7333333333333334
1976-06-30,2.466666666666667
1976-07-31,2.2
1976-08-31,2.4333333333333336
1976-09-30,2.6666666666666665
1976-10-31,2.9
1976-11-30,3.533333333333333
1976-12-31,4.166666666666666
1977-01-31,4.8
1977-02-28,5.866666666666666
1977-03-31,6.933333333333334
1977-04-30,8.0
1977-05-31,7.8
1977-06-30,7.6000000000000005
1977-07-31,7.4
1977-08-31,4.933333333333334
1977-09-30,2.466666666666667
1977-10-31,0.0
1977-11-30,0.43333333333333335
1977-12-31,0.8666666666666667
1978-01-31,1.3
1978-02-28,6.333333333333332
1978-03-31,11.366666666666665
1978-04-30,16.4
1978-05-31,12.299999999999999
1978-06-30,8.2
1978-07-31,4.1
1978-08-31,4.566666666666666
1978-09-30,5.033333333333333
1978-10-31,5.5
1978-11-30,3.9000000000000004
